Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
12899,14120,Directed,12899_14120,,,1,4500,19,3,0,226,52
11193,13930,Directed,11193_13930,,,6712,115138729,372236,238383,11945780,59664,346828
15257,13579,Directed,15257_13579,,,1,2800,9,4,0,187,74
12266,14843,Directed,12266_14843,,,594,25589553,100515,90682,735537,76266,135426
14783,12278,Directed,14783_12278,,,199,20878152,1030,913,5012506,3808,7589
12255,11233,Directed,12255_11233,,,2,9000,38,22,0,668,176
14574,10529,Directed,14574_10529,,,1,12000,50,33,0,502,69
13930,11495,Directed,13930_11495,,,1,33085,124,121,0,944,172
11259,12206,Directed,11259_12206,,,8,298500,1096,245,4,3206,536
15387,13002,Directed,15387_13002,,,2,3700,12,10,0,72,133
13244,15096,Directed,13244_15096,,,265,27621312,250,176,16520365,18560,29751
12641,12720,Directed,12641_12720,,,3,8443,23,14,109,630,163
13930,14761,Directed,13930_14761,,,1,35940,144,132,0,984,149
13487,11292,Directed,13487_11292,,,6909,238916983,917917,767478,1278218,136000,692019
12769,15554,Directed,12769_15554,,,6,11559,45,29,0,488,346
12323,11973,Directed,12323_11973,,,3,116532,408,372,0,2115,305
14100,10581,Directed,14100_10581,,,1154,25837146,68712,54927,2964,16082,82705
12214,13806,Directed,12214_13806,,,1,1250,6,2,50,85,36
11433,10994,Directed,11433_10994,,,945,11609528,47276,36014,0,20040,91374
11278,15412,Directed,11278_15412,,,944,11692718,47636,26720,7059,7412,65408
13930,14783,Directed,13930_14783,,,2618,30632362,128293,71534,4552,29346,179710
10800,12280,Directed,10800_12280,,,1,13500,50,43,0,726,107
11996,12264,Directed,11996_12264,,,1029,12230358,51466,34003,0,12256,65750
14027,10994,Directed,14027_10994,,,2,49750,187,173,0,856,148
15502,14730,Directed,15502_14730,,,5,142000,670,546,0,1760,264
15570,10581,Directed,15570_10581,,,1,264000,0,0,178200,2640,0
12855,14130,Directed,12855_14130,,,48,54800,231,125,2907,221,487
14730,11996,Directed,14730_11996,,,90,6481530,0,0,4194583,1794,4261
14794,14869,Directed,14794_14869,,,2314,17446416,69360,37217,37269,3766,139740
11292,10408,Directed,11292_10408,,,296,4023475,14912,11695,0,14128,33406
14895,10551,Directed,14895_10551,,,1,1800,9,2,0,187,58
15370,13232,Directed,15370_13232,,,1,37400,137,137,0,583,96
10313,10551,Directed,10313_10551,,,10,13777,67,21,400,840,601
11612,11986,Directed,11612_11986,,,2,24700,100,98,1,351,161
12448,10781,Directed,12448_10781,,,2,22090,94,90,140,276,85
12822,15478,Directed,12822_15478,,,3,6550,27,27,0,588,175
13077,10615,Directed,13077_10615,,,1,35000,120,72,0,1253,182
