id,label,timeset,Airport,City_name,State_name
14107,"PHX",,"PHX","Phoenix AZ","Arizona"
14109,"PIB",,"PIB","Hattiesburg/Laurel MS","Mississippi"
14108,"PIA",,"PIA","Peoria IL","Illinois"
11834,"FYV",,"FYV","Fayetteville AR","Arkansas"
11833,"FYU",,"FYU","Fort Yukon AK","Alaska"
14842,"SJT",,"SJT","San Angelo TX","Texas"
14843,"SJU",,"SJU","San Juan PR","Puerto Rico"
11274,"DBQ",,"DBQ","Dubuque IA","Iowa"
13689,"NJK",,"NJK","El Centro CA","California"
10449,"AXN",,"AXN","Alexandria MN","Minnesota"
11577,"ERI",,"ERI","Erie PA","Pennsylvania"
13682,"NIP",,"NIP","Jacksonville FL","Florida"
13681,"NIN",,"NIN","Ninilchik AK","Alaska"
10300,"AND",,"AND","Anderson SC","South Carolina"
11278,"DCA",,"DCA","Washington DC","Virginia"
13685,"NJ1",,"NJ1","Berlin NJ","New Jersey"
14992,"SSB",,"SSB","Christiansted VI","U.S. Virgin Islands"
15215,"TIQ",,"TIQ","Tinian TT","U.S. Pacific Trust Territories and Possessions"
14996,"SSI",,"SSI","Brunswick GA","Georgia"
13152,"MA1",,"MA1","Edgartown MA","Massachusetts"
13151,"LZU",,"LZU","Lawrenceville GA","Georgia"
10557,"BFD",,"BFD","Bradford PA","Pennsylvania"
11375,"DOV",,"DOV","Dover DE","Delaware"
11376,"DPA",,"DPA","Chicago IL","Illinois"
13158,"MAF",,"MAF","Midland/Odessa TX","Texas"
10590,"IFP",,"IFP","Bullhead City AZ","Arizona"
12306,"LOT",,"LOT","Chicago IL","Illinois"
12303,"IGX",,"IGX","Chapel Hill NC","North Carolina"
11905,"GGG",,"GGG","Longview TX","Texas"
13255,"MFD",,"MFD","Mansfield OH","Ohio"
13256,"MFE",,"MFE","Mission/McAllen/Edinburg TX","Texas"
10599,"BHM",,"BHM","Birmingham AL","Alabama"
13398,"MMU",,"MMU","Morristown NJ","New Jersey"
15550,"VAD",,"VAD","Valdosta GA","Georgia"
15741,"WFB",,"WFB","Ketchikan AK","Alaska"
13599,"NAD",,"NAD","North Adams MA","Massachusetts"
15446,"UGI",,"UGI","Uganik AK","Alaska"
15626,"VQS",,"VQS","Vieques PR","Puerto Rico"
15625,"VPZ",,"VPZ","Valparaiso IN","Indiana"
15624,"VPS",,"VPS","Valparaiso FL","Florida"
