Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
32222,32945,Directed,32222_32945,,,1,5300,7,3,0,690,108
31641,33244,Directed,31641_33244,,,2,22440,94,66,0,1258,209
35153,30852,Directed,35153_30852,,,2,53986,223,180,0,1427,202
30194,32070,Directed,30194_32070,,,2,59626,140,139,8193,2451,374
32211,34321,Directed,32211_34321,,,1,37400,150,120,0,2411,291
32321,30070,Directed,32321_30070,,,3,16792,0,0,4231,328,137
30463,30590,Directed,30463_30590,,,1,6400,30,12,0,147,36
30476,33214,Directed,30476_33214,,,5,278017,0,0,73211,682,289
33342,30255,Directed,33342_30255,,,1,32870,149,115,0,576,123
34027,33667,Directed,34027_33667,,,3,110800,424,328,0,2220,418
33495,30185,Directed,33495_30185,,,1,13500,50,38,0,165,37
31703,32397,Directed,31703_32397,,,1681,15688510,60831,37125,152,4908,80098
33192,30198,Directed,33192_30198,,,1,38700,150,114,0,2191,298
31845,32822,Directed,31845_32822,,,2,5200,17,13,0,382,144
30685,33485,Directed,30685_33485,,,1,12500,50,49,0,185,60
31123,30279,Directed,31123_30279,,,2,74100,274,248,1603,1345,209
35257,33770,Directed,35257_33770,,,1,1350,6,5,0,51,30
31650,31252,Directed,31650_31252,,,1,34446,126,32,0,1271,159
30466,33158,Directed,30466_33158,,,2,73400,274,201,430,1160,185
31135,31057,Directed,31135_31057,,,2614,63910182,240553,168466,67929,15805,97152
34718,33434,Directed,34718_33434,,,72,119600,465,227,1511,1079,2436
32884,33342,Directed,32884_33342,,,2,30462,80,69,28,337,204
34877,32575,Directed,34877_32575,,,10,111481,128,56,24478,11946,1576
33290,32575,Directed,33290_32575,,,1,44433,168,43,0,1248,185
30589,34231,Directed,30589_34231,,,2,14280,68,47,0,310,78
30770,30245,Directed,30770_30245,,,56,86760,324,136,3700,406,1145
31563,30928,Directed,31563_30928,,,5,166000,750,662,0,4572,587
33827,32899,Directed,33827_32899,,,1,3500,0,0,1785,57,19
33367,33244,Directed,33367_33244,,,230,3024418,11468,9098,1,6633,16658
31454,30255,Directed,31454_30255,,,364,9155520,42721,27300,12,7490,29708
30599,31995,Directed,30599_31995,,,2,76004,287,194,0,850,126
33693,32633,Directed,33693_32633,,,13,24050,78,1,455,144,135
32575,31648,Directed,32575_31648,,,4,8000,32,11,0,4013,525
30693,33105,Directed,30693_33105,,,1129,25766079,46730,38608,7729598,17940,50419
34493,30299,Directed,34493_30299,,,5,153600,0,0,74905,741,292
33316,31703,Directed,33316_31703,,,1170,16779296,64916,46367,2382,47967,168419
32615,32087,Directed,32615_32087,,,1,1100,5,2,30,151,66
30977,30540,Directed,30977_30540,,,6,179956,444,319,0,5088,520
32899,30221,Directed,32899_30221,,,1,4500,19,7,0,127,33
34570,33044,Directed,34570_33044,,,357,30244293,0,0,13663584,42021,73599
32896,31423,Directed,32896_31423,,,1,42500,174,159,0,703,89
30476,33105,Directed,30476_33105,,,1,12646,50,35,0,686,79
32156,30189,Directed,32156_30189,,,1,13500,50,24,0,653,116
34783,33543,Directed,34783_33543,,,1,6400,30,28,0,243,48
33570,33525,Directed,33570_33525,,,1,34000,150,123,0,705,114
31295,30466,Directed,31295_30466,,,3121,132244174,478389,426718,263196,160407,716840
31982,31563,Directed,31982_31563,,,5,170000,750,678,0,5617,750
34574,33195,Directed,34574_33195,,,103,3502000,15450,14424,0,8016,10002
34534,31315,Directed,34534_31315,,,1,6500,30,21,0,379,72
30198,30135,Directed,30198_30135,,,4,70865,230,151,0,1011,369
31057,31650,Directed,31057_31650,,,2385,69571960,261678,212062,97201,96720,332646
30977,30980,Directed,30977_30980,,,615,6463190,27795,19361,439,13527,43641
30581,34492,Directed,30581_34492,,,1,34800,174,129,0,809,134
30172,30615,Directed,30172_30615,,,1,12646,50,28,0,1728,240
33105,31146,Directed,33105_31146,,,6,75590,294,202,0,865,224
30107,30349,Directed,30107_30349,,,1,2977,9,0,1177,347,156
32260,31123,Directed,32260_31123,,,1,5600,0,0,2420,292,45
33970,35124,Directed,33970_35124,,,1,1250,6,3,0,318,126
31252,31057,Directed,31252_31057,,,1109,18938010,75622,64298,1530,14976,79949
31252,30158,Directed,31252_30158,,,10,288400,1302,651,0,4794,1105
31057,33105,Directed,31057_33105,,,3118,49689866,199243,148752,82162,29810,189120
30647,30693,Directed,30647_30693,,,692,25582582,94663,74100,128488,13440,50834
31470,33546,Directed,31470_33546,,,112,386625,0,0,60164,1056,2378
35153,30194,Directed,35153_30194,,,2,48186,187,167,0,1074,180
35165,34576,Directed,35165_34576,,,136,7334000,75,0,4520805,3310,6864
31844,34102,Directed,31844_34102,,,1,6100,19,19,0,369,88
30476,30994,Directed,30476_30994,,,1,12646,50,44,0,804,101
31086,32575,Directed,31086_32575,,,1,2000,10,10,0,44,284
32397,32884,Directed,32397_32884,,,1,12500,50,45,0,415,88
30466,31884,Directed,30466_31884,,,998,35559600,129298,105109,51607,40800,138387
32600,31650,Directed,32600_31650,,,67,903500,3350,2888,14,2808,7029
31492,35282,Directed,31492_35282,,,1,3400,9,9,0,114,44
31453,30693,Directed,31453_30693,,,3552,78288734,296223,242599,861126,37234,315304
32575,34492,Directed,32575_34492,,,105,4192892,16404,15238,7560,24599,27004
34457,30189,Directed,34457_30189,,,2,26146,100,43,0,742,156
30721,34259,Directed,30721_34259,,,1,37400,150,11,0,50,16
30590,32575,Directed,30590_32575,,,33,891000,4290,3611,0,4777,1488
31481,31453,Directed,31481_31453,,,727,26893700,98954,78321,0,18826,67764
31703,32320,Directed,31703_32320,,,2,10600,16,5,0,278,72
31986,30466,Directed,31986_30466,,,123,4186000,18486,17349,0,20293,26384
32779,33894,Directed,32779_33894,,,22,35200,120,74,2011,667,633
33495,30868,Directed,33495_30868,,,1,22500,86,74,0,601,117
32822,31845,Directed,32822_31845,,,1,3000,9,6,0,191,53
30990,31295,Directed,30990_31295,,,1,16500,50,39,0,390,60
30198,31905,Directed,30198_31905,,,1,38800,140,109,0,979,178
31057,31504,Directed,31057_31504,,,1340,17683688,67445,51395,12836,11500,98670
31994,30476,Directed,31994_30476,,,1,47000,0,0,42865,767,150
32448,30155,Directed,32448_30155,,,3,32530,138,137,0,1269,292
31295,33495,Directed,31295_33495,,,625,21871915,81671,62162,71592,44448,79512
33158,30615,Directed,33158_30615,,,11,385300,1481,1048,2677,2706,458
35096,30647,Directed,35096_30647,,,910,9800560,34203,24703,0,5389,72624
33316,33198,Directed,33316_33198,,,45,1635741,3759,2802,179936,4712,1525
33693,31401,Directed,33693_31401,,,87,152200,526,65,1480,1134,3589
35502,30158,Directed,35502_30158,,,1,27000,130,89,0,930,108
33785,30894,Directed,33785_30894,,,1,36000,168,166,0,1507,168
31066,32884,Directed,31066_32884,,,7,365817,270,232,18995,1068,281
34543,30590,Directed,34543_30590,,,1,42617,162,147,0,535,81
30994,31905,Directed,30994_31905,,,1,12350,50,33,1,855,154
33767,30107,Directed,33767_30107,,,565,2560940,6026,2603,64320,5285,26775
33970,35478,Directed,33970_35478,,,12,121180,88,58,10988,2145,727
30299,31885,Directed,30299_31885,,,3,66661,0,0,66661,738,215
31252,31454,Directed,31252_31454,,,4,110942,444,429,0,216,73
30713,30325,Directed,30713_30325,,,2870,71281265,273804,223282,116450,62304,248741
30693,30431,Directed,30693_30431,,,1,12240,50,31,0,237,124
34524,31650,Directed,34524_31650,,,409,8849187,33187,24670,249,20370,60502
31845,34856,Directed,31845_34856,,,1,4500,19,18,0,321,77
30466,33277,Directed,30466_33277,,,10,438675,1649,1512,7500,4464,1628
32235,35504,Directed,32235_35504,,,21,44831,184,67,1068,240,323
33038,30785,Directed,33038_30785,,,1,50000,0,0,2368,1865,216
33398,30577,Directed,33398_30577,,,1,6400,30,24,0,126,42
32321,30009,Directed,32321_30009,,,4,9600,36,15,0,242,155
30599,30977,Directed,30599_30977,,,1595,37240996,139775,103100,137570,32882,153706
30783,30107,Directed,30783_30107,,,2,4727,17,2,1671,658,218
30980,31295,Directed,30980_31295,,,571,7360452,28349,19614,29809,16665,48234
33570,32758,Directed,33570_32758,,,1,2300,8,5,0,2556,312
33970,31411,Directed,33970_31411,,,487,1136360,3693,1330,134936,4916,12182
30950,34288,Directed,30950_34288,,,1,4500,19,5,0,236,49
30216,33198,Directed,30216_33198,,,1,11486,50,32,0,721,118
33277,31871,Directed,33277_31871,,,2,17840,50,49,2830,587,119
31714,31973,Directed,31714_31973,,,9,324226,1252,1138,0,4671,779
33214,31295,Directed,33214_31295,,,1029,25411361,91816,74210,217966,95848,161889
33768,35721,Directed,33768_35721,,,1,2200,8,2,0,152,74
31867,32236,Directed,31867_32236,,,1,3500,0,0,1693,157,62
31135,30423,Directed,31135_30423,,,1,27679,102,47,0,1125,174
35478,33970,Directed,35478_33970,,,6,21450,74,52,0,1072,397
30139,32268,Directed,30139_32268,,,34,86750,293,127,1276,1692,847
32134,30852,Directed,32134_30852,,,1,257357,0,0,141321,4817,487
36340,32252,Directed,36340_32252,,,16,29600,96,3,887,196,275
30325,30852,Directed,30325_30852,,,7433,293235398,1127132,985247,2653652,282567,1275471
30478,33667,Directed,30478_33667,,,1,32793,136,101,0,408,69
30778,33198,Directed,30778_33198,,,2,3621,18,8,0,1122,0
31650,31517,Directed,31650_31517,,,185,9675915,34150,28906,9156,14796,58151
31136,31982,Directed,31136_31982,,,1,34000,150,96,0,963,120
34092,30599,Directed,34092_30599,,,2,57870,210,171,0,1105,172
30476,32448,Directed,30476_32448,,,19,1234119,94,59,315009,876,701
31066,30423,Directed,31066_30423,,,2,79177,300,200,337,2148,364
30599,31973,Directed,30599_31973,,,3,116532,408,386,0,769,149
34262,30189,Directed,34262_30189,,,1,13500,50,50,0,742,125
35293,30299,Directed,35293_30299,,,79,2213594,47,20,1997998,5040,6936
31775,34905,Directed,31775_34905,,,1,39633,162,155,0,1400,184
33570,32884,Directed,33570_32884,,,1,36000,168,125,0,1900,0
34895,32807,Directed,34895_32807,,,12,24550,48,4,1383,742,610
30868,30994,Directed,30868_30994,,,16,356055,1246,888,7774,1425,381
33377,33127,Directed,33377_33127,,,1,39633,162,127,0,1631,205
34570,30713,Directed,34570_30713,,,659,24394182,89876,54752,74800,10720,33274
33873,31411,Directed,33873_31411,,,7,21600,56,22,1799,936,333
30994,33277,Directed,30994_33277,,,2,45920,192,155,0,746,170
34761,33195,Directed,34761_33195,,,4,136000,600,368,0,321,222
31764,32467,Directed,31764_32467,,,1,29700,154,45,0,1082,159
31650,30279,Directed,31650_30279,,,1,38400,140,91,0,804,145
32039,30599,Directed,32039_30599,,,1,2000,7,4,0,193,30
32457,35167,Directed,32457_35167,,,5,12000,52,8,0,12817,1516
32436,32575,Directed,32436_32575,,,1147,7637028,26880,8692,300011,2808,42095
31884,34492,Directed,31884_34492,,,1,42500,173,81,0,2133,240
30325,30647,Directed,30325_30647,,,1785,58827821,244216,196102,55572,121991,257637
32253,32633,Directed,32253_32633,,,1,1850,6,1,55,40,27
35554,35282,Directed,35554_35282,,,2,2400,12,9,0,136,73
30466,32448,Directed,30466_32448,,,1,36700,137,132,807,1276,184
32708,31813,Directed,32708_31813,,,1,3400,9,9,0,215,76
30928,32228,Directed,30928_32228,,,1,6400,30,27,0,562,182
30194,30431,Directed,30194_30431,,,75,783090,3364,2854,8,6784,8696
31986,34492,Directed,31986_34492,,,1,24000,72,36,0,603,88
34150,31721,Directed,34150_31721,,,4,14000,0,0,3208,374,327
35472,31859,Directed,35472_31859,,,2,2850,14,6,0,90,67
33917,33704,Directed,33917_33704,,,1,1093,5,4,0,39,24
30423,30189,Directed,30423_30189,,,8,181935,675,585,0,4296,1108
33495,31871,Directed,33495_31871,,,2,56036,210,81,0,1156,213
30868,34524,Directed,30868_34524,,,4,60782,200,128,50,1304,368
34524,30599,Directed,34524_30599,,,2,26146,100,50,0,1194,186
32779,32851,Directed,32779_32851,,,283,441725,1770,730,7583,1755,5059
31703,32916,Directed,31703_32916,,,1,5300,8,3,0,209,54
30158,30647,Directed,30158_30647,,,76,1894100,9314,6058,0,9838,5579
31123,36133,Directed,31123_36133,,,1,34000,150,30,0,542,72
31550,32769,Directed,31550_32769,,,1843,2897575,11106,2576,105890,3795,28371
31871,30599,Directed,31871_30599,,,2,68000,300,124,0,275,102
32195,32769,Directed,32195_32769,,,11,29650,90,54,0,933,593
32575,32016,Directed,32575_32016,,,62,7446358,25293,22116,385901,36534,0
32868,33768,Directed,32868_33768,,,314,683800,2712,858,52057,797,3696
32523,34256,Directed,32523_34256,,,354,12146732,28388,20233,1265257,3567,9611
33105,30434,Directed,33105_30434,,,3,65874,165,148,2,1497,426
31146,32467,Directed,31146_32467,,,120,3480000,17400,13116,0,8520,14254
30562,30155,Directed,30562_30155,,,2,22440,94,50,1,1072,205
31703,35502,Directed,31703_35502,,,5,149000,690,375,0,5160,768
32779,30113,Directed,32779_30113,,,1717,3214725,11160,4257,17216,8593,79364
31027,33282,Directed,31027_33282,,,493,3549600,16762,3484,0,348,6934
31453,30561,Directed,31453_30561,,,503,8961790,33198,19664,0,12852,96278
31123,33198,Directed,31123_33198,,,1849,71947113,222013,159536,3928918,18233,84131
31931,35374,Directed,31931_35374,,,1,7209,34,11,0,138,30
31140,32206,Directed,31140_32206,,,2,47246,172,123,1407,214,54
30559,30721,Directed,30559_30721,,,982,39381290,151259,134814,1781263,69886,281260
33244,34006,Directed,33244_34006,,,1,3500,0,0,38,155,54
33044,32211,Directed,33044_32211,,,649,37856880,50005,45278,11910129,48720,142720
32575,31711,Directed,32575_31711,,,3,13500,57,10,0,1166,448
34321,30198,Directed,34321_30198,,,2,32682,136,122,0,1108,254
33044,30476,Directed,33044_30476,,,60,5372723,0,0,3174197,11476,5187
34004,30994,Directed,34004_30994,,,22,5009418,0,0,472787,12095,5853
35504,30184,Directed,35504_30184,,,2,3457,18,4,0,49,48
30185,33038,Directed,30185_33038,,,13,408604,1973,1249,0,3928,1032
31057,31067,Directed,31057_31067,,,1,12350,50,29,0,522,140
31471,31650,Directed,31471_31650,,,12,404650,1553,444,0,1020,276
30615,34303,Directed,30615_34303,,,1,39633,162,120,0,1178,162
32457,34288,Directed,32457_34288,,,2,50900,187,162,0,1930,302
34819,30994,Directed,34819_30994,,,4,223600,753,748,125,5292,993
31441,31684,Directed,31441_31684,,,569,2264620,10811,2722,0,624,9418
32822,35794,Directed,32822_35794,,,2,6140,17,8,0,200,83
31517,35731,Directed,31517_35731,,,18,38265,93,25,20005,2057,1437
34819,30397,Directed,34819_30397,,,2515,120338290,428533,375367,533359,66521,512437
34092,32223,Directed,34092_32223,,,1,6400,30,27,0,342,90
33038,32575,Directed,33038_32575,,,2,43000,0,0,13741,1208,370
33728,31973,Directed,33728_31973,,,1,12240,50,20,0,112,28
32945,33105,Directed,32945_33105,,,19,287930,1101,1000,1034,1120,478
30466,31703,Directed,30466_31703,,,4808,182199018,729832,633720,1043252,274084,1210222
33195,33667,Directed,33195_33667,,,368,13630232,50305,33636,50392,19359,37098
30431,33195,Directed,30431_33195,,,102,3044000,12974,10442,0,6168,7625
35502,32575,Directed,35502_32575,,,1,27000,130,47,0,1587,252
33693,31484,Directed,33693_31484,,,61,112850,366,31,1987,204,7723
31447,30739,Directed,31447_30739,,,1,7209,34,16,0,254,64
32633,31484,Directed,32633_31484,,,27,49950,162,12,1689,261,1784
31764,34750,Directed,31764_34750,,,1,5300,7,3,0,1021,156
30416,33873,Directed,30416_33873,,,9,32700,43,14,653,516,413
31726,35153,Directed,31726_35153,,,1,24000,76,39,0,599,80
34761,30599,Directed,34761_30599,,,1,37400,150,138,0,464,71
30685,30928,Directed,30685_30928,,,1,12500,50,34,0,497,88
32348,35167,Directed,32348_35167,,,1,11486,50,44,0,466,67
