Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
2,35,Directed,2_35,,,1,1600,8,6,0,2064,201
13,8,Directed,13_8,,,6797,252930364,1033540,934219,1288934,330020,1142562
53,53,Directed,53_53,,,55468,804440853,2943864,2165928,37471371,184517,2014435
9,25,Directed,9_25,,,59,3184653,2788,2465,597572,4765,1987
6,17,Directed,6_17,,,32937,1546309725,5334867,4816658,90367580,1621047,6860110
44,54,Directed,44_54,,,2,110162,213,152,32242,1179,167
48,18,Directed,48_18,,,6129,232027074,526591,437233,61242611,309381,651506
23,51,Directed,23_51,,,3049,51049623,193995,151405,5494,58953,267974
30,47,Directed,30_47,,,924,66478995,272,219,21111990,81718,148327
8,8,Directed,8_8,,,28444,426490403,1564839,1165347,9378888,142704,1003450
39,48,Directed,39_48,,,8165,288131293,838293,672552,20570132,365714,1167007
53,34,Directed,53_34,,,1659,72723067,280633,252225,1686729,211376,460528
36,55,Directed,36_55,,,3007,75391509,290659,215572,58613,103642,337843
34,35,Directed,34_35,,,3,114583,512,466,44,5415,853
1,16,Directed,1_16,,,1,43048,162,151,0,1891,262
27,21,Directed,27_21,,,3741,145691285,212462,176798,39066634,101624,309997
25,39,Directed,25_39,,,3569,73775510,308186,253053,170408,72659,346805
18,29,Directed,18_29,,,1128,68193814,98930,69942,28667299,32996,72554
28,34,Directed,28_34,,,2,45437,170,57,0,2192,300
36,78,Directed,36_78,,,550,27816040,100006,79346,87648,37329,110804
21,1,Directed,21_1,,,372,31083203,646,392,21314397,14445,19044
51,50,Directed,51_50,,,2134,38096122,143606,107845,6400,32962,142627
19,31,Directed,19_31,,,23,1100687,1310,935,295075,3914,994
29,1,Directed,29_1,,,8,215310,917,695,168,3890,821
54,6,Directed,54_6,,,2,50600,189,52,0,4316,570
17,27,Directed,17_27,,,17530,488600849,1884481,1567940,10060148,195031,1070415
34,18,Directed,34_18,,,3648,165589415,167246,139692,64556956,103421,364686
28,19,Directed,28_19,,,8,312592,1030,761,0,6672,892
16,38,Directed,16_38,,,2,73308,310,230,0,1797,255
